번호,H S K,한 글 품 명,영 문 품 명,칠레,싱가 포르,EFTA,아세안,인도,EU (25.7.1~ 26.6.30),EU (26.7.1~ 27.6.30),페루,미국,콜롬 비아,튀르 키예,캐나다,호주,베트남,중국,뉴질 랜드,중미- 코스타리카,중미- 엘살바도르,중미- 온두 라스,중미-니카 라과,중미-파나마,영국 (25.7.1~ 26.6.30),영국 (26.7.1~ 27.6.30),인도네시아,이스 라엘,캄보 디아,RCEP- 뉴질 랜드,RCEP- 아세안,RCEP- 일본,RCEP- 중국,RCEP- 호주,필리핀,UAE
970,1516.20.1020,해바라기씨유와 그 분획물,Sunflower seed oil and its fraction,미양허,0,미양허,0,미양허,0,0,0,0,11.2,36,0,10,0,36,7.2,미양허,미양허,미양허,미양허,미양허,0,0,0,36,0,33.8,33.8,미양허,미양허,33.8,0,0
971,1516.20.1030,유채유(채종유 또는 콜자유)와 그 분획물,Rape or colza oil and its fraction,미양허,미양허,미양허,0,미양허,0,0,0,0,11.2,36,0,10,0,36,7.2,미양허,미양허,미양허,미양허,미양허,0,0,0,36,0,33.8,33.8,미양허,미양허,33.8,0,0
972,1516.20.1040,들기름과 그 분획물,Perilla oil and its fraction,미양허,미양허,미양허,28.8,미양허,0,0,0,0,11.2,36,36,4.8,28.8,36,7.2,미양허,미양허,미양허,미양허,미양허,0,0,미양허,36,28.8,미양허,미양허,미양허,미양허,미양허,미양허,28.8
973,1516.20.1050,참기름과 그 분획물,Sesame oil and its fraction,미양허,미양허,미양허,5,미양허,0,0,0,0,11.2,36,0,4.8,5,36,7.2,미양허,미양허,미양허,미양허,미양허,0,0,미양허,36,5,36,36,미양허,미양허,36,미양허,32.4
974,1516.20.2010,야자유와 그 분획물,Coconut oil and its fraction,0,0,미양허(IS 6.4),0,4,0,0,0,0,0,0,0,0,0,0,0,2.6,3.3,2.6,2.6,4,0,0,0,1.6,0,4,4,4,4,4,0,0
975,1516.20.2020,팜유와 그 분획물,Plam oil and its fraction,0,0,6.4(CH 미양허),0,4,0,0,0,0,0,0,0,0,0,0,0,2.6,3.3,2.6,2.6,4,0,0,0,1.6,0,4,4,4,4,4,0,0
976,1516.20.2030,옥수수유와 그 분획물,Maize oil and its fraction,0,0,6.4(CH 미양허),0,4,0,0,0,0,0,0,0,0,0,8,0,2.6,3.3,2.6,2.6,4,0,0,0,1.6,0,7.5,7.5,미양허,미양허,7.5,0,6.4
977,1516.20.2040,면실유와 그 분획물,Cotton seed oil and its fraction,0,0,미양허(IS 6.4),0,4,0,0,0,0,0,0,0,0,0,0,0,2.6,3.3,2.6,2.6,4,0,0,0,1.6,0,4,4,4,4,4,0,0
978,1516.20.2050,대두유와 그 분획물,Soya bean oil and its fraction,0,0,7.2(CH 미양허),0,4,0,0,0,0,0,0,0,0,0,0,0,2.6,3.3,2.6,2.6,4,0,0,0,1.6,0,4,4,4,4,4,0,6.4
979,1516.20.2090,기타 식물성 유지와 그 분획물,Other vegetable fats and oils and their fractions,0,0,,5,미양허,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6,1.4,4,4,4,4,4,3,0
980,1516.30.0000,미생물성 지방과 기름 및 이들의 분획물,Microbial fats and oils and their fractions,0,0,미양허,5,미양허,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6,1.4,4,4,4,4,4,3,0
981,1517.10.0000,마가린(액상마가린 제외),Margarine (Excluding liquid),0,0,,0,0,0,0,0,0,0,0,0,0,0,1.6,1.6,2.6,3.3,2.6,2.6,4,0,0,0,1.6,0,4,4,4,4,4,0,6.4
982,1517.90.1000,이미테이션 라드,Imitation lard,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,3.3,2.6,2.6,4,0,0,0,1.6,0,4,4,4,4,4,0,0
983,1517.90.2000,쇼트닝,Shortening,0,0,,0,0,0,0,0,0,0,0,0,0,0,1.6,0,2.6,3.3,2.6,2.6,4,0,0,0,1.6,0,4,4,4,4,4,0,6.4
984,1517.90.9000,마가린류 유지 기타 ,Other edible mixtures or preparations of animal or vegetable fats or oils or fractions,0,0,,0,미양허,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,5.3,5.3,미양허,미양허,5.3,0,6.4
985,1518.00.1000,탈수피마자유,Dehydrated castor oil,0,0,6.4,0,4,0,0,0,0,0,0,0,0,0,0,0,2.6,3.3,2.6,2.6,4,0,0,0,1.6,0,4,4,4,4,4,0,0
986,1518.00.2000,에폭시화한 대두유,Epoxidised soya-bean oil,0,0,7.2,0,4,0,0,0,0,0,0,0,0,0,0,0,2.6,3.3,2.6,2.6,4,0,0,0,1.6,0,4,4,4,4,4,0,0
987,1518.00.9010,동물성·식물성ㆍ미생물성 유지 기타(사료용),"Other animal, vegetable or microbial fats and oils and fractions (For feeding)",0,0,,0,4,0,0,0,0,0,0,0,0,0,0,0,1.6,2,1.6,1.6,2.5,0,0,0,1,0,2.5,2.5,2.5,2.5,2.5,0,0
988,1518.00.9090,기타(기타),"Other animal, vegetable or microbial fats and oils and fractions (Other)",0,0,,0,4,0,0,0,0,0,0,0,0,0,0,0,2.6,3.3,2.6,2.6,4,0,0,0,1.6,0,5.3,5.3,미양허,미양허,5.3,0,0
989,1520.00.0000,"글리세롤(glycerol)(가공하지 않은 것으로 한정한다), 글리세롤 수(水), 글리세롤 폐액(廢液)","Glycerol, crude; glycerol waters and glycerol lyes",0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,4,4,4,4,4,0,0
990,1521.10.1000,카나버왁스,Carnauba wax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,1.6,0,4,4,4,4,4,0,0
991,1521.10.2000,팜왁스,Plam wax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,4,4,4,4,4,0,0
992,1521.10.9000,기타 식물성왁스,Other vegetable waxes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,1.6,0,4,4,4,4,4,0,0
993,1521.90.2000,밀랍,Beeswax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,1.6,0,5.3,5.3,5.3,5.3,5.3,0,0
994,1521.90.9000,"기타(밀랍, 고래왁스 이외)",Other insect waxes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,1.6,0,4,4,4,4,4,0,0
995,1522.00.0000,"데그라스(degras), 지방성 물질이나 동물성ㆍ식물성 왁스를 처리할 때 생기는 잔유물",Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,2.6,3.3,2.6,2.6,4,0,0,0,1.6,0,4,4,4,4,4,0,0
996,1601.00.1000,소시지,Sausages,0,0,미양허,14.4,미양허,0,0,0,0,0,18,0,0,14.4,18,0,6,7.5,6,6,9,0,0,미양허,10.8,9.6,미양허,미양허,미양허,미양허,미양허,미양허,14.4
